mo-dy-yr,daily average discharge in L/s
10/1/04,0
10/2/04,0
10/3/04,0
10/4/04,0
10/5/04,0
10/6/04,0
10/7/04,0
10/8/04,0
10/9/04,0
10/10/04,0
10/11/04,0
10/12/04,0
10/13/04,0
10/14/04,0
10/15/04,0
10/16/04,0
10/17/04,0
10/18/04,0
10/19/04,161
10/20/04,79
10/21/04,15
10/22/04,8
10/23/04,7
10/24/04,7
10/25/04,8
10/26/04,35
10/27/04,38
10/28/04,14
10/29/04,9
10/30/04,8
10/31/04,7
11/1/04,6
11/2/04,5
11/3/04,5
11/4/04,6
11/5/04,7
11/6/04,5
11/7/04,6
11/8/04,5
11/9/04,6
11/10/04,4
11/11/04,4
11/12/04,4
11/13/04,5
11/14/04,4
11/15/04,4
11/16/04,4
11/17/04,4
11/18/04,4
11/19/04,4
11/20/04,4
11/21/04,4
11/22/04,4
11/23/04,4
11/24/04,3
11/25/04,3
11/26/04,3
11/27/04,3
11/28/04,3
11/29/04,3
11/30/04,3
12/1/04,3
12/2/04,3
12/3/04,3
12/4/04,3
12/5/04,4
12/6/04,3
12/7/04,3
12/8/04,3
12/9/04,3
12/10/04,3
12/11/04,3
12/12/04,2
12/13/04,2
12/14/04,3
12/15/04,3
12/16/04,3
12/17/04,3
12/18/04,3
12/19/04,3
12/20/04,3
12/21/04,3
12/22/04,2
12/23/04,3
12/24/04,2
12/25/04,2
12/26/04,3
12/27/04,36
12/28/04,878
12/29/04,402
12/30/04,318
12/31/04,2546
1/1/05,332
1/2/05,176
1/3/05,1215
1/4/05,448
1/5/05,187
1/6/05,125
1/7/05,481
1/8/05,1922
1/9/05,4993
1/10/05,3490
1/11/05,1547
1/12/05,820
1/13/05,512
1/14/05,332
1/15/05,258
1/16/05,199
1/17/05,172
1/18/05,140
1/19/05,131
1/20/05,129
1/21/05,115
1/22/05,117
1/23/05,108
1/24/05,106
1/25/05,99
1/26/05,111
1/27/05,89
1/28/05,100
1/29/05,85
1/30/05,78
1/31/05,76
2/1/05,78
2/2/05,70
2/3/05,70
2/4/05,72
2/5/05,69
2/6/05,65
2/7/05,61
2/8/05,57
2/9/05,61
2/10/05,66
2/11/05,68
2/12/05,63
2/13/05,67
2/14/05,60
2/15/05,58
2/16/05,70
2/17/05,76
2/18/05,160
2/19/05,478
2/20/05,593
2/21/05,2508
2/22/05,1334
2/23/05,956
2/24/05,560
2/25/05,365
2/26/05,272
2/27/05,220
2/28/05,193
3/1/05,164
3/2/05,152
3/3/05,135
3/4/05,184
3/5/05,180
3/6/05,148
3/7/05,124
3/8/05,123
3/9/05,118
3/10/05,116
3/11/05,110
3/12/05,107
3/13/05,105
3/14/05,82
3/15/05,70
3/16/05,62
3/17/05,61
3/18/05,72
3/19/05,76
3/20/05,58
3/21/05,72
3/22/05,528
3/23/05,438
3/24/05,238
3/25/05,177
3/26/05,150
3/27/05,130
3/28/05,120
3/29/05,100
3/30/05,97
3/31/05,97
4/1/05,85
4/2/05,86
4/3/05,83
4/4/05,74
4/5/05,72
4/6/05,70
4/7/05,58
4/8/05,63
4/9/05,63
4/10/05,64
4/11/05,56
4/12/05,56
4/13/05,53
4/14/05,61
4/15/05,62
4/16/05,62
4/17/05,54
4/18/05,55
4/19/05,53
4/20/05,48
4/21/05,45
4/22/05,43
4/23/05,44
4/24/05,42
4/25/05,40
4/26/05,44
4/27/05,48
4/28/05,65
4/29/05,36
4/30/05,35
5/1/05,33
5/2/05,30
5/3/05,30
5/4/05,29
5/5/05,71
5/6/05,50
5/7/05,32
5/8/05,30
5/9/05,32
5/10/05,29
5/11/05,24
5/12/05,25
5/13/05,27
5/14/05,30
5/15/05,30
5/16/05,28
5/17/05,25
5/18/05,24
5/19/05,23
5/20/05,24
5/21/05,24
5/22/05,24
5/23/05,23
5/24/05,25
5/25/05,23
5/26/05,24
5/27/05,26
5/28/05,27
5/29/05,23
5/30/05,24
5/31/05,24
6/1/05,29
6/2/05,31
6/3/05,27
6/4/05,30
6/5/05,28
6/6/05,25
6/7/05,27
6/8/05,26
6/9/05,28
6/10/05,27
6/11/05,28
6/12/05,26
6/13/05,28
6/14/05,28
6/15/05,29
6/16/05,28
6/17/05,28
6/18/05,28
6/19/05,25
6/20/05,25
6/21/05,23
6/22/05,23
6/23/05,22
6/24/05,22
6/25/05,20
6/26/05,21
6/27/05,20
6/28/05,19
6/29/05,19
6/30/05,20
7/1/05,20
7/2/05,19
7/3/05,18
7/4/05,19
7/5/05,17
7/6/05,17
7/7/05,17
7/8/05,17
7/9/05,18
7/10/05,16
7/11/05,17
7/12/05,-28
7/13/05,14
7/14/05,13
7/15/05,13
7/16/05,13
7/17/05,12
7/18/05,11
7/19/05,11
7/20/05,10
7/21/05,10
7/22/05,9
7/23/05,7
7/24/05,8
7/25/05,8
7/26/05,8
7/27/05,8
7/28/05,8
7/29/05,8
7/30/05,8
7/31/05,9
8/1/05,10
8/2/05,9
8/3/05,10
8/4/05,10
8/5/05,9
8/6/05,8
8/7/05,9
8/8/05,9
8/9/05,8
8/10/05,8
8/11/05,8
8/12/05,8
8/13/05,11
8/14/05,10
8/15/05,7
8/16/05,7
8/17/05,7
8/18/05,8
8/19/05,7
8/20/05,7
8/21/05,7
8/22/05,6
8/23/05,7
8/24/05,8
8/25/05,5
8/26/05,6
8/27/05,6
8/28/05,6
8/29/05,6
8/30/05,6
8/31/05,7